family,rung_a,rung_b,quadrant,n,p_a,p_b,joint,phi,ci_low,ci_high,phi_2023,phi_2024,phi_2025,phi_2026
team_k_thrown,k>=7,team_k>=8,both,15544,0.248006,0.559894,0.239063,0.467440,,,0.447826,0.466807,0.472743,0.494219
team_k_thrown,k>=7,team_k>=9,both,15544,0.248006,0.424858,0.218477,0.529847,,,0.524242,0.530586,0.539152,0.521697
team_hits_allowed,k>=7,team_hits<=7,both,15544,0.248006,0.480957,0.160062,0.189004,,,0.190679,0.202268,0.184407,0.171819
team_hits_allowed,k>=7,team_hits<=8,both,15544,0.248006,0.598559,0.188690,0.190108,,,0.197993,0.192992,0.183091,0.183944
team_hits_allowed,k>=7,team_hits<=9,both,15544,0.248006,0.704709,0.208762,0.172539,,,0.181020,0.173825,0.178225,0.145069
outpitch,k>=line,my_er<their_er,both,12992,0.564732,0.500000,0.318042,0.143914,,,0.137378,0.139975,0.148211,0.154978
combined_starter_er,k>=line,combined_er<=4,both,15544,0.568901,0.478255,0.297092,0.101108,,,0.106367,0.091514,0.113833,0.084949
combined_starter_er,k>=line,combined_er<=5,both,15544,0.568901,0.607180,0.370754,0.104725,,,0.101569,0.103806,0.131625,0.062563
combined_starter_er,k>=line,combined_er<=6,both,15544,0.568901,0.721693,0.434315,0.106979,,,0.103901,0.102984,0.124960,0.086546
team_k_thrown,k>=line,team_k>=7,both,15544,0.568901,0.694931,0.498520,0.452472,,,0.421578,0.475909,0.457485,0.458569
team_k_thrown,k>=line,team_k>=8,both,15544,0.568901,0.559894,0.431227,0.458455,,,0.425455,0.475613,0.476660,0.457232
team_k_thrown,k>=line,team_k>=9,both,15544,0.568901,0.424858,0.349138,0.438865,,,0.428743,0.439503,0.447155,0.442682
team_hits_allowed,k>=line,team_hits<=7,both,15544,0.568901,0.480957,0.312210,0.155973,,,0.145256,0.166793,0.157119,0.153020
team_hits_allowed,k>=line,team_hits<=8,both,15544,0.568901,0.598559,0.379825,0.161908,,,0.166719,0.152554,0.166713,0.160289
team_hits_allowed,k>=line,team_hits<=9,both,15544,0.568901,0.704709,0.436567,0.157838,,,0.157647,0.149103,0.169639,0.151785
batter_k,k>=5,batter_k>=1,both,139896,0.538986,0.621633,0.378545,0.179911,,,0.173923,0.181697,0.181052,0.184704
batter_k_pa3,k>=5,batter_k>=1,both,134361,0.537135,0.628144,0.380542,0.179034,,,0.173311,0.181815,0.179426,0.183075
batter_hits,k>=5,batter_hits<=1,both,139896,0.538986,0.781452,0.438662,0.084804,,,0.092258,0.085386,0.083781,0.072626
batter_hits_pa3,k>=5,batter_hits<=1,both,134361,0.537135,0.773230,0.433035,0.084801,,,0.092143,0.085653,0.083734,0.072201
batter_k,k>=6,batter_k>=1,both,139896,0.382141,0.621633,0.279322,0.177250,0.172049,0.181699,0.169625,0.182763,0.179538,0.176652
batter_k_pa3,k>=6,batter_k>=1,both,134361,0.380490,0.628144,0.280327,0.176115,0.170796,0.180418,0.168605,0.183485,0.177578,0.173539
batter_hits,k>=6,batter_hits<=1,both,139896,0.382141,0.781452,0.315163,0.082357,0.076494,0.088431,0.085673,0.084698,0.082434,0.071884
batter_hits_pa3,k>=6,batter_hits<=1,both,134361,0.380490,0.773230,0.310983,0.082521,0.076559,0.088797,0.085296,0.084912,0.082856,0.072282
batter_k,k>=7,batter_k>=1,both,139896,0.248006,0.621633,0.189112,0.166841,,,0.164514,0.171569,0.166208,0.163332
batter_k_pa3,k>=7,batter_k>=1,both,134361,0.246671,0.628144,0.189475,0.165739,,,0.163514,0.171571,0.165290,0.159742
batter_hits,k>=7,batter_hits<=1,both,139896,0.248006,0.781452,0.207468,0.076562,,,0.083002,0.078324,0.073828,0.066721
batter_hits_pa3,k>=7,batter_hits<=1,both,134361,0.246671,0.773230,0.204591,0.076766,,,0.082544,0.078747,0.074383,0.066927
batter_k,k>=line,batter_k>=1,both,139896,0.568901,0.621633,0.391934,0.159408,,,0.151765,0.163787,0.162338,0.160532
batter_k_pa3,k>=line,batter_k>=1,both,134361,0.566809,0.628144,0.394155,0.159164,,,0.151768,0.163891,0.161671,0.159983
batter_hits,k>=line,batter_hits<=1,both,139896,0.568901,0.781452,0.458198,0.066592,,,0.068342,0.067856,0.068873,0.056509
batter_hits_pa3,k>=line,batter_hits<=1,both,134361,0.566809,0.773230,0.451962,0.065967,,,0.066931,0.067772,0.068616,0.055593
duel_control,k>=6,their_k>=6,both,15544,0.382141,0.382141,0.142949,-0.013056,-0.029737,0.003448,0.009225,-0.063665,0.010961,-0.006849
