family,stratum,range_low,range_high,n,clusters,season_low,season_high,transport_ok,spearman,kendall,gaussian_rho,p_a,dir_a,p_b,dir_b,empirical_joint,ci_low,ci_high,gaussian_joint,independent,phi
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.30,Over,0.50,Over,0.230451,0.222499,0.240036,0.232453,0.150000,0.351117
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.30,Over,0.50,Under,0.069508,0.060004,0.077608,0.067547,0.150000,-0.351297
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.30,Under,0.50,Over,0.059164,0.050521,0.065690,0.067547,0.150000,-0.396440
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.30,Under,0.50,Under,0.240794,0.234358,0.249587,0.232453,0.150000,0.396259
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.30,Over,0.70,Over,0.264791,0.258903,0.271431,0.274172,0.210000,0.260910
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.30,Over,0.70,Under,0.126189,0.116915,0.135866,0.132246,0.210000,-0.399098
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.30,Under,0.70,Over,0.132396,0.124379,0.140692,0.132246,0.210000,-0.369545
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.30,Under,0.70,Under,0.282995,0.277952,0.288173,0.274172,0.210000,0.347597
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.50,Over,0.30,Over,0.247000,0.238836,0.255594,0.232453,0.150000,0.423345
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.50,Over,0.30,Under,0.075300,0.066489,0.083133,0.067547,0.150000,-0.326018
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.50,Under,0.30,Over,0.052958,0.044278,0.061081,0.067547,0.150000,-0.423525
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.50,Under,0.30,Under,0.224659,0.216925,0.233594,0.232453,0.150000,0.325837
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.50,Over,0.50,Over,0.350434,0.341054,0.361468,0.346476,0.250000,0.401738
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.50,Over,0.50,Under,0.149359,0.138495,0.158779,0.153524,0.250000,-0.402565
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.50,Under,0.50,Over,0.149359,0.138495,0.158779,0.153524,0.250000,-0.402565
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.50,Under,0.50,Under,0.350848,0.341363,0.361717,0.346476,0.250000,0.403393
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.50,Over,0.70,Over,0.424493,0.416862,0.433510,0.432453,0.350000,0.325115
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.50,Over,0.70,Under,0.252793,0.244254,0.261164,0.267547,0.350000,-0.424247
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.50,Under,0.70,Over,0.275548,0.266408,0.283081,0.267547,0.350000,-0.324934
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.50,Under,0.70,Under,0.447249,0.438919,0.455791,0.432453,0.350000,0.424428
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.70,Over,0.30,Over,0.282995,0.277952,0.288173,0.274172,0.210000,0.347597
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.70,Over,0.30,Under,0.132396,0.124379,0.140692,0.132246,0.210000,-0.369545
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.70,Under,0.30,Over,0.126189,0.116915,0.135866,0.132246,0.210000,-0.399098
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.70,Under,0.30,Under,0.264791,0.258903,0.271431,0.274172,0.210000,0.260910
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.70,Over,0.50,Over,0.440629,0.434208,0.449270,0.432453,0.350000,0.395537
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.70,Over,0.50,Under,0.259412,0.250526,0.265767,0.267547,0.350000,-0.395356
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.70,Under,0.50,Over,0.269342,0.259840,0.277501,0.267547,0.350000,-0.352020
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.70,Under,0.50,Under,0.430699,0.422392,0.440170,0.432453,0.350000,0.352200
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.70,Over,0.70,Over,0.567646,0.559261,0.575786,0.567754,0.490000,0.369742
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.70,Over,0.70,Under,0.417046,0.411813,0.422117,0.425828,0.490000,-0.347400
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.70,Under,0.70,Over,0.435250,0.428627,0.440998,0.425828,0.490000,-0.260713
teamtotal_x_passtd,t2,0.6071,0.6897,2417,300,2010,2025,true,0.565828,0.401126,0.569731,0.70,Under,0.70,Under,0.573852,0.564257,0.582958,0.567754,0.490000,0.399295
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.30,Over,0.30,Over,0.178704,0.170021,0.188834,0.174428,0.090000,0.422400
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.30,Over,0.30,Under,0.028477,0.023679,0.035449,0.021773,0.090000,-0.292966
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.30,Under,0.30,Over,0.011969,0.007736,0.016496,0.021773,0.090000,-0.371578
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.30,Under,0.30,Under,0.182006,0.170583,0.189721,0.174428,0.090000,0.438123
teamtotal_x_passtd,t3,0.6897,,2423,239,2010,2025,true,0.610521,0.434641,0.609971,0.30,Over,0.50,Over,0.233182,0.224514,0.241342,0.238877,0.150000,0.363036
